,,
,,
,,
,,
FIPS_Code,Stabr,PCTPOVALL_2021
21047,KY,16.7
21049,KY,11.6
21051,KY,35.9
21053,KY,22.6
21055,KY,18.9
21057,KY,22.5
21059,KY,13.6
21061,KY,18.4
21063,KY,26.6
21065,KY,22.6
21067,KY,14.6
21069,KY,17.4
21071,KY,28
21073,KY,13.3
21075,KY,23.4
21077,KY,14.7
21079,KY,14.4
21081,KY,12.7
21083,KY,16.2
21085,KY,18.2
21087,KY,19.5
21089,KY,14.6
21091,KY,12.6
21093,KY,11.7
21095,KY,33.2
21097,KY,14.1
21099,KY,20.4
21101,KY,12.4
21103,KY,14
21105,KY,18.6
21107,KY,18.6
21109,KY,25.2
21111,KY,14.5
21113,KY,13.8
21115,KY,24.2
21117,KY,12.6
21119,KY,32
21121,KY,35.1
21123,KY,15.5
21125,KY,19.5
21127,KY,24.8
21129,KY,33.5
21131,KY,29.8
21133,KY,29.1
21135,KY,22.6
21137,KY,19.3
21139,KY,14.4
21141,KY,16.6
21143,KY,14.8
21145,KY,17.4
21147,KY,33.5
21149,KY,13.6
21151,KY,16.6
21153,KY,33.2
21155,KY,15.8
21157,KY,13.7
21159,KY,40.5
21161,KY,17.1
21163,KY,14.8
21165,KY,27.8
21167,KY,12.8
21169,KY,19.3
21171,KY,22
21173,KY,16.3
21175,KY,26.3
21177,KY,20.9
21179,KY,10.7
21181,KY,16.5
21183,KY,16.3
21185,KY,4.9
21187,KY,15.2
21189,KY,35.6
21191,KY,14.8
21193,KY,29.9
21195,KY,30.1
21197,KY,22.8
21199,KY,19.1
21201,KY,18.5
21203,KY,21.3
21205,KY,20.9
21207,KY,27
21209,KY,9.5
21211,KY,9.4
21213,KY,13.6
21215,KY,7.4
21217,KY,17.6
21219,KY,18.9
21221,KY,17.2
21223,KY,13.3
21225,KY,18.4
21227,KY,14.8
21229,KY,12.8
21231,KY,23.9
21233,KY,15.7
21235,KY,27.6
21237,KY,29
21239,KY,8.6
22000,LA,19.5
22001,LA,20.6
22003,LA,20.5
22005,LA,11.4
22007,LA,19
22009,LA,30.5
22011,LA,15.9
22013,LA,26
22015,LA,15.2
22017,LA,23.6
22019,LA,18.3
22021,LA,22.7
22023,LA,14
22025,LA,26.7
22027,LA,29.8
22029,LA,33.7
22031,LA,19.6
22033,LA,19.2
22035,LA,39.9
22037,LA,20.1
22039,LA,26.3
22041,LA,24
22043,LA,20.6
22045,LA,24
22047,LA,22.5
22049,LA,20.4
22051,LA,17.5
22053,LA,17.2
22055,LA,17.7
22057,LA,15.7
22059,LA,19.4
22061,LA,25.4
22063,LA,12
22065,LA,35.3
22067,LA,30.9
22069,LA,22.3
22071,LA,25.2
22073,LA,25.5
22075,LA,14.5
22077,LA,18.8
22079,LA,19.9
22081,LA,23.6
22083,LA,25
22085,LA,19.7
22087,LA,21.7
22089,LA,11.8
22091,LA,25.3
22093,LA,17
22095,LA,16.8
22097,LA,26.3
22099,LA,18.4
22101,LA,22.9
22103,LA,12.7
22105,LA,17.8
22107,LA,32.1
22109,LA,16.9
22111,LA,20.8
22113,LA,20.2
22115,LA,17.7
22117,LA,24.5
22119,LA,24
22121,LA,15.2
22123,LA,22.4
22125,LA,22.2
22127,LA,26.8
23000,ME,11.2
23001,ME,14
23003,ME,14.9
23005,ME,7.7
23007,ME,11.7
23009,ME,11
23011,ME,11.3
23013,ME,10.5
23015,ME,9.2
23017,ME,15.1
23019,ME,14.6
23021,ME,14
23023,ME,8.7
23025,ME,14.8
23027,ME,13.1
23029,ME,18.2
23031,ME,8.3
24000,MD,10.3
24001,MD,16.4
24003,MD,6.2
24005,MD,9.8
24009,MD,5.8
24011,MD,13.5
24013,MD,5.4
24015,MD,10.9
24017,MD,6.7
24019,MD,15
24021,MD,6.6
24023,MD,11
24025,MD,7.6
24027,MD,6.2
24029,MD,12
24031,MD,8.5
24033,MD,11.5
24035,MD,8
24037,MD,7.8
24039,MD,23.6
24041,MD,9.4
24043,MD,14.5
24045,MD,14.2
24047,MD,10.3
24510,MD,22.9
25000,MA,10.4
25001,MA,8
25003,MA,10.9
25005,MA,11.9
25007,MA,7.6
25009,MA,9.6
25011,MA,10.7
25013,MA,17
25015,MA,11.7
25017,MA,7.7
25019,MA,5.9
25021,MA,6.9
25023,MA,7.5
25025,MA,18.5
25027,MA,10
26000,MI,13
26001,MI,12.6
26003,MI,12.6
26005,MI,9.4
26007,MI,15.5
26009,MI,10.2
26011,MI,14.9
26013,MI,15.8
26015,MI,8.9
26017,MI,12.6
26019,MI,9.3
26021,MI,16.1
26023,MI,12.5
26025,MI,13.7
26027,MI,11.5
26029,MI,9.1
26031,MI,12.9
26033,MI,17.7
26035,MI,18.9
26037,MI,7.8
26039,MI,15.8
26041,MI,11.8
26043,MI,11.4
26045,MI,8.8
26047,MI,8.6
26049,MI,16.3
26051,MI,15.9
26053,MI,17.4
26055,MI,8.8
26057,MI,15.7
26059,MI,14.4
26061,MI,14.1
26063,MI,11.8
26065,MI,15.8
26067,MI,11.5
26069,MI,14.5
26071,MI,15.4
26073,MI,18.1
26075,MI,11.9
26077,MI,14.1
26079,MI,10.9
26081,MI,9.9
26083,MI,10.7
26085,MI,18.7
26087,MI,9.3
26089,MI,6.7
26091,MI,11.1
26093,MI,5.2
26095,MI,18.6
26097,MI,11.6
26099,MI,11.6
26101,MI,13
26103,MI,13.3
26105,MI,13.8
26107,MI,17.6
26109,MI,10.6
