"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970–2021",,,,
"Note: For 1970 and 1980, the share of adults with less than high school includes those who had not completed the 12th grade. In 1990, 2000, and estimates from the 5-year period American Conmunity Survey, the share includes those who did not receive a high school diploma or its equivalent (such as a GED). For definitions of rural classifications, see the USDA, Economic Research Service webpage ""Rural Classifications"" in the ""Rural Economy and Population"" topic. Note that counties not existing when rural classifications were determined will not have values for those fields.",,,,
"Source: USDA, Economic Research Service using data from U.S. Department of Commerce, Bureau of the Census, 1970, 1980, 1990, 2000 Censuses of Population, and 2008–12 and 2017–21 American Community Survey 5-year period county-level estimates. Data as of January 24, 2023. For more information contact Austin Sanders.",,,,
Federal Information Processing Standard (FIPS) Code,State,"Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21"
12029,FL,47.8,22.2,10.8
12031,FL,28.1,30.9,31.5
12033,FL,27.3,35.9,27.4
12035,FL,32.1,33.0,27.2
12037,FL,32.0,25.8,21.1
12039,FL,35.6,25.6,19.6
12041,FL,42.1,31.7,12.5
12043,FL,33.1,22.9,13.4
12045,FL,32.8,30.8,23.1
12047,FL,45.7,21.2,9.0
12049,FL,46.4,19.6,10.2
12051,FL,35.6,25.3,8.5
12053,FL,33.6,36.0,19.4
12055,FL,36.1,31.0,18.8
12057,FL,26.3,27.3,35.5
12059,FL,45.8,25.2,9.5
12061,FL,27.7,31.5,32.0
12063,FL,39.9,30.3,13.2
12065,FL,34.7,27.6,21.5
12067,FL,42.6,23.7,7.3
12069,FL,31.3,33.8,25.3
12071,FL,30.8,29.9,29.0
12073,FL,19.0,27.1,47.1
12075,FL,42.3,30.1,15.1
12077,FL,41.4,22.1,13.5
12079,FL,36.8,30.5,13.1
12081,FL,29.1,29.0,32.2
12083,FL,35.8,31.1,21.4
12085,FL,25.4,32.5,34.2
12086,FL,26.4,24.3,31.7
12087,FL,27.8,28.6,35.7
12089,FL,30.9,28.8,31.8
12091,FL,24.6,35.1,33.2
12093,FL,36.7,27.3,16.6
12095,FL,24.3,29.5,35.7
12097,FL,29.5,32.8,24.3
12099,FL,23.4,27.7,38.0
12101,FL,33.4,30.9,26.1
12103,FL,26.6,31.5,34.1
12105,FL,33.9,31.5,21.0
12107,FL,42.0,27.1,12.7
12109,FL,21.8,27.0,46.0
12111,FL,31.4,32.6,24.2
12113,FL,27.2,36.0,29.1
12115,FL,26.8,29.6,37.3
12117,FL,20.6,31.7,41.9
12119,FL,30.2,29.1,32.8
12121,FL,40.6,26.4,16.0
12123,FL,44.4,25.9,11.9
12125,FL,36.9,29.5,11.0
12127,FL,31.2,34.6,25.4
12129,FL,35.7,32.5,20.0
12131,FL,28.3,30.5,32.5
12133,FL,42.1,29.0,12.5
13000,GA,27.2,28.0,33.0
13001,GA,38.4,29.7,9.7
13003,GA,33.0,22.9,10.9
13005,GA,39.4,32.9,11.1
13007,GA,34.1,31.3,18.2
13009,GA,32.7,27.7,25.3
13011,GA,31.8,28.6,16.5
13013,GA,34.4,32.5,20.9
13015,GA,36.9,29.9,19.8
13017,GA,50.0,22.8,10.9
13019,GA,40.7,26.8,13.0
13021,GA,30.7,30.2,25.5
13023,GA,34.8,36.8,16.0
13025,GA,45.3,29.5,6.5
13027,GA,34.1,30.7,16.8
13029,GA,27.1,31.7,33.5
13031,GA,29.7,30.2,28.3
13033,GA,36.4,32.4,15.1
13035,GA,41.4,27.6,12.2
13037,GA,38.2,26.9,11.5
